Feature ID,Name,xmin,ymin,xmax,ymax
22,Адыгея,38.6,43.7,40.8,45.3
18,Алтай,83.9,49.0,89.9,52.7
8,Алтайский край,77.8,50.6,87.2,54.5
71,Амурская область,119.6,48.8,135.0,57.1
48,Архангельская область,35.8,60.6,50.6,66.6
80,Астраханская область,44.9,45.1,49.4,48.9
25,Башкортостан,53.1,51.5,60.1,56.6
10,Белгородская область,35.3,49.7,39.3,51.5
72,Брянская область,31.2,51.8,35.4,54.1
28,Бурятия,98.6,49.9,117.0,57.3
50,Владимирская область,38.2,55.1,43.0,56.9
5,Волгоградская область,41.1,47.4,47.5,51.3
54,Вологодская область,34.7,58.4,47.2,61.7
69,Воронежская область,38.1,49.5,43.0,52.2
14,Дагестан,45.1,41.1,48.6,45.0
15,Еврейская АО,130.5,47.6,135.0,49.5
57,Забайкальский край,107.7,49.1,122.2,58.5
35,Ивановская область,39.3,56.3,43.4,57.8
82,Ингушетия,44.4,42.6,45.3,43.7
52,Иркутская область,95.6,51.1,119.2,64.4
68,Кабардино-Балкария,42.3,42.8,44.5,44.1
34,Калининградская область,19.7,54.3,22.9,55.3
47,Калмыкия,41.6,44.7,47.6,48.3
79,Калужская область,33.4,53.2,37.3,55.4
64,Камчатский край,155.5,50.8,174.6,65.0
70,Карачаево-Черкесия,40.6,43.1,42.7,44.5
2,Карелия,29.3,60.6,38.0,66.7
29,Кемеровская область,84.4,52.1,89.5,56.9
30,Кировская область,46.2,56.0,54.0,61.1
16,Коми,45.3,59.1,66.3,68.5
41,Костромская область,40.3,57.2,47.7,59.7
33,Краснодарский край,36.5,43.3,41.8,46.9
6,Красноярский край,78.4,51.7,114.0,77.8
11,Крым,32.4,44.3,36.7,46.3
49,Курганская область,61.9,54.1,68.8,56.9
4,Курская область,34.0,50.9,38.6,52.5
26,Ленинградская область,26.9,58.4,35.8,61.4
36,Липецкая область,37.7,51.8,40.8,53.6
24,Магаданская область,144.7,58.8,163.5,66.4
37,Марий Эл,45.6,55.8,50.3,57.4
23,Мордовия,42.1,53.6,46.8,55.2
83,Москва,36.8,55.1,38.0,56.1
17,Московская область,35.1,54.2,40.3,57.0
59,Мурманская область,28.4,66.0,41.5,70.0
63,Ненецкий АО,43.2,65.8,65.7,70.5
38,Нижегородская область,41.7,54.4,47.8,58.1
45,Новгородская область,29.6,56.9,36.3,59.5
55,Новосибирская область,75.0,53.2,85.2,57.3
20,Омская область,70.3,53.4,76.4,58.6
19,Оренбургская область,50.7,50.5,61.8,54.4
1,Орловская область,34.7,51.9,38.1,53.7
42,Пензенская область,42.0,52.2,47.0,54.1
66,Пермский край,51.7,56.1,59.5,61.7
76,Приморский край,130.4,42.2,139.1,48.5
43,Псковская область,27.3,55.5,31.6,59.1
75,Ростовская область,38.2,45.9,44.4,50.3
21,Рязанская область,38.6,53.3,42.7,55.4
44,Самарская область,47.9,51.7,52.6,54.7
39,Санкт-Петербург,29.4,59.6,30.8,60.3
67,Саратовская область,42.5,49.8,50.9,52.9
58,Сахалинская область,141.1,43.3,156.6,54.5
53,Свердловская область,57.2,56.0,66.2,62.0
77,Севастополь,33.3,44.3,34.0,44.9
60,Северная Осетия,43.3,42.5,45.0,43.9
7,Смоленская область,30.7,53.4,35.4,56.1
81,Ставропольский край,40.8,43.6,45.8,46.3
46,Тамбовская область,39.9,51.5,43.3,53.9
78,Татарстан,47.2,53.9,54.3,56.7
31,Тверская область,30.7,55.6,38.4,58.9
27,Томская область,75.0,55.6,89.4,61.1
40,Тульская область,35.8,52.9,39.0,54.9
3,Тыва,88.7,49.7,99.3,53.8
56,Тюменская область,64.8,55.1,75.2,60.0
13,Удмуртия,51.1,55.8,54.5,58.6
61,Ульяновская область,45.7,52.5,50.3,54.9
62,Хабаровский край,130.3,46.6,147.3,62.6
9,Хакасия,87.8,51.2,92.0,55.5
65,Ханты-Мансийский АО — Югра,59.2,58.5,86.0,65.8
32,Челябинская область,57.1,51.9,63.4,56.4
84,Чечня,44.8,42.4,46.7,44.1
73,Чувашия,45.9,54.6,48.5,56.4
85,Чукотка,157.7,61.8,180.0,70.2
51,Якутия,105.5,55.4,162.9,74
74,Ямало-Ненецкий АО,62.0,62.1,86.1,73.6
12,Ярославская область,37.3,56.5,41.2,59.0
